,Unnamed: 0,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate,sujeto,inicio_ventana,fin_ventana,duracion_ventana,#cortes,cortes_por_segundo,labels
11,11,439.4078288930119,8.0,595.7333224376576,0.071386578681521,0.0003672780701037,0.0692399940218907,-0.0063202566570327,33.0,32.0,32.0,1002.4096211900584,0.0007318048813629,71.31519210283955,56.0,andres,59.2,64.19999999999999,4.999999999999993,32,6.400000000000009,0
12,12,72.50847474934498,9.0,64.85079779974491,0.0655834102528747,-0.0188938663651426,0.0683894576218923,-0.0294888664337714,3.0,3.0,4.0,115.31534252625808,-0.0059348603838476,7.542092179080593,3.0,andres,64.19999999999999,64.78,0.5800000000000125,4,6.896551724137782,0
13,13,535.2131630425657,7.0,585.3691097643475,0.1089971688930978,-0.0002544083577237,0.1171590441668557,-0.0038178092896778,34.0,33.0,34.0,1006.4119574122666,0.0006780061701607,108.88817172420477,69.0,ariana,3.2,8.2,4.999999999999999,34,6.800000000000002,0
14,14,492.4870923803903,7.0,508.7780690215623,0.0900928119261073,0.0006472490870801,0.0936206642521576,0.011576915145043,32.0,31.0,31.0,1004.195692443434,0.0005169947925747,90.00271911418128,59.0,ariana,8.2,13.2,5.0,30,6.0,1
15,15,580.0630875294754,7.0,501.2866672383896,0.093463927973119,0.0007086161351125,0.0958176711782575,0.0205007313690013,30.0,30.0,30.0,1004.5472731896832,0.0001628024362426,93.37046404514592,58.0,ariana,13.2,18.2,5.0,30,6.0,0
16,16,574.5033822644855,8.0,519.1763810336403,0.0910572805768523,-0.0006527098371058,0.0930937054733751,0.0211307752429401,29.0,28.0,28.0,1004.2892638424288,0.0001502487428492,90.9662232962755,56.0,ariana,18.2,23.2,5.0,28,5.6,1
17,17,547.2670032450717,8.0,474.5147597315792,0.0894049417438927,-0.0006991186249154,0.08931735708428,0.0143361275007371,28.0,27.0,29.0,1004.173749632889,7.920430194378094e-05,89.31553680214886,55.0,ariana,23.2,28.2,5.0,28,5.6,0
18,18,560.6415108044239,8.0,551.2666711734657,0.0876451928217734,7.410329101865865e-05,0.0890696251484608,0.0074180451027747,28.0,27.0,27.0,1004.082088550272,0.0005110779943581,87.55754762895168,50.0,ariana,28.2,33.2,5.0,26,5.2,1
19,19,567.2870790050027,8.0,486.72263890454286,0.0910153574774081,0.0010630986160377,0.0917020094761624,0.0187612071770698,26.0,26.0,27.0,1004.4152693135012,6.829912958731534e-05,90.92434211993076,51.0,ariana,33.2,38.2,5.0,27,5.4,0
20,20,545.0203048723802,8.0,526.9679000939783,0.0874081146973932,-0.0017092372544984,0.0867969318833856,0.0041380390655176,29.0,27.0,28.0,1004.1884149082152,-0.00033921345939,87.32070658269589,55.0,ariana,38.2,43.2,5.0,27,5.4,0
21,21,562.2104948058825,8.0,488.11527994348216,0.0892523408305133,0.0007829612679136,0.088564997502888,0.0097731433120457,27.0,26.0,27.0,1004.467449399726,9.920546701629652e-05,89.16308848968285,52.0,ariana,43.2,48.2,5.0,26,5.2,1
22,22,555.2858116792058,8.0,534.9524202521694,0.0841860479300577,0.0010030077061878,0.0844836209778372,0.0125016454630429,27.0,25.0,28.0,1003.891063595986,-9.9110450395457e-05,84.10186188212768,52.0,ariana,48.2,53.2,5.0,27,5.4,0
23,23,587.1350671815367,8.0,471.3777996470189,0.0862698083162671,-0.0016808862302627,0.0829103593866391,0.0020690236796421,26.0,25.0,25.0,1004.2317876823718,0.000184221478411,86.18353850795083,49.0,ariana,53.2,58.2,5.0,24,4.8,1
24,24,463.0464974504106,8.0,507.2144914035512,0.0710631829952866,0.0007197590208222,0.0657617638404129,0.003773914259575,28.0,27.0,28.0,1002.6630026894464,0.0001930172568855,70.99211981229132,53.0,ariana,58.2,63.2,5.0,27,5.4,0
25,25,327.8823129618635,7.0,269.59335047753865,0.093305600165762,-0.0018661658727451,0.0930962897427077,0.0239487218028442,14.0,15.0,15.0,550.1286536785593,-0.000121532057662,51.03816329067183,29.0,ariana,63.19999999999999,65.94,2.740000000000009,15,5.474452554744508,0
26,26,674.3222029421541,9.0,503.0317168104042,0.0804018097905394,0.0006691076932748,0.0769405943770848,0.028539308727822,27.0,27.0,27.0,1003.1655519107072,0.0003848191583511,80.32140798074887,40.0,carlos,4.38,9.38,4.999999999999999,27,5.400000000000001,0
27,27,538.3434488577191,8.0,508.6731301742462,0.0869860059727423,0.0001426183437067,0.0799708229065281,0.0396420236092192,26.0,26.0,26.0,1003.9433460960888,-1.6314679079955456e-05,86.89901996676963,52.0,carlos,9.38,14.38,5.0,26,5.2,1
28,28,457.2713399768776,8.0,400.9081863133583,0.0832590305344486,-0.0006737781892138,0.0792010021385881,0.030103335303475,21.0,21.0,21.0,847.8855116729337,-5.776225378593807e-05,70.2706217710747,42.0,carlos,14.38,19.38,5.0,21,4.2,1
29,29,482.41480601350776,8.0,505.4558514345462,0.0784197790971989,0.000592843016778,0.0722902484348165,0.0336053634361729,24.0,23.0,25.0,1003.1161773927064,-4.504944029462016e-05,78.3413593181017,48.0,carlos,19.379999999999995,24.379999999999995,5.0,25,5.0,0
30,30,488.9969308710996,8.0,504.4094036083525,0.0771625872827166,0.0003866984568945,0.0699143782906328,0.0279235928000579,25.0,23.0,24.0,1003.1641759618888,0.0001533579927605,77.08542469543389,46.0,carlos,24.379999999999995,29.379999999999995,5.0,23,4.6,1
31,31,390.1898435204697,7.0,492.5428696365944,0.0737976433152682,-4.55285557054694e-05,0.069240721775455,0.0169547894143089,40.0,29.0,40.0,1002.9174574934372,-2.8958575131826983e-05,73.723845671953,63.0,carlos,29.379999999999995,34.379999999999995,5.0,36,7.2,0
32,32,501.7027004845543,8.0,505.8469450066663,0.0816083219157515,-0.0010052028838002,0.0735573331460434,0.0274994363854432,29.0,24.0,29.0,1003.7663363629986,-0.0003790613587378,81.52671359383584,48.0,carlos,34.379999999999995,39.38,5.0,26,5.2,1
33,33,498.2137172397992,8.0,524.8168490491936,0.0798700416222759,0.0020147540387727,0.0732204498933717,0.0300327777955031,30.0,23.0,31.0,1002.5391189315616,6.226717936374752e-05,79.7103015390314,49.0,carlos,39.38,44.38,5.0,26,5.2,0
34,34,509.3126221512307,8.0,472.22741558308974,0.082721098916683,-0.0019328382490491,0.0748251453041605,0.026848754465693,28.0,23.0,28.0,1003.8710209958308,-0.0001615879300303,82.6383778177664,47.0,carlos,44.38,49.38,5.0,24,4.8,1
35,35,526.4300393543626,8.0,499.34184498466544,0.0867257325778074,0.0006812863605675,0.0788769862247474,0.0327805162149569,32.0,24.0,32.0,1004.402203949862,-8.32714042558472e-05,86.63900684522962,44.0,carlos,49.38,54.38,5.0,29,5.8,0
36,36,566.4106709395395,8.0,484.13777862983295,0.0877111758356577,0.0004950873469868,0.0762823697702594,0.0325805832340332,27.0,23.0,27.0,1004.532115133641,-0.0001889478474857,87.62346465982208,45.0,carlos,54.38,59.38,5.0,23,4.6,1
37,37,509.5397477164418,8.0,526.605720152503,0.0860476483137283,-0.0016500438698381,0.0747365189195665,0.0201122826846562,33.0,23.0,34.0,954.2645723649794,0.000180994310711,81.65921824972821,45.0,carlos,59.38,64.24,4.859999999999999,27,5.555555555555556,0
38,38,514.5951104393889,10.0,474.35205271022807,0.0713761910327402,0.0016671861063186,0.0687843101263125,-0.006504597228184,31.0,29.0,32.0,1002.4160128014056,0.0010771664249167,71.3048148417075,43.0,dafne,6.18,11.18,5.0,27,5.4,0
